"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1090","test_hotel_list","test","Wed Nov 20 18:12:56 GMT 2024","passed","Wed Nov 20 18:12:57 GMT 2024","TestHootel","test_hootel","",""
"A belépés tesztelése","1946","Hootel Login","test","Wed Nov 20 18:12:52 GMT 2024","passed","Wed Nov 20 18:12:54 GMT 2024","TestHootel","test_hootel","",""
